subject, fold, accuracy, f1-score
1, 0, 0.4930555555555556, 0.48174763352975414
1, 1, 0.4982638888888889, 0.4802628290446019
1, 2, 0.4982638888888889, 0.4778115873148851
1, 3, 0.4982638888888889, 0.48460982282268233
1, 4, 0.5034722222222222, 0.49246414317461895
2, 0, 0.5746527777777778, 0.5649939120593257
2, 1, 0.5034722222222222, 0.4912243299356303
2, 2, 0.4791666666666667, 0.4664954454873185
2, 3, 0.5225694444444444, 0.509806174035321
2, 4, 0.5364583333333334, 0.523843476566757
3, 0, 0.6423611111111112, 0.6333757453178248
3, 1, 0.6145833333333334, 0.6108505527482958
3, 2, 0.6284722222222222, 0.6172570363359837
3, 3, 0.6232638888888888, 0.6148075348734645
3, 4, 0.6892361111111112, 0.6862375068460734
4, 0, 0.5104166666666666, 0.49138485246367647
4, 1, 0.5104166666666666, 0.4942332866853046
4, 2, 0.4982638888888889, 0.4908138918129327
4, 3, 0.5225694444444444, 0.5012965952192389
4, 4, 0.5260416666666666, 0.5068108988895772
5, 0, 0.5902777777777778, 0.5757734960135744
5, 1, 0.6197916666666666, 0.608124606134797
5, 2, 0.5815972222222222, 0.5670710933946227
5, 3, 0.5954861111111112, 0.5795587347283684
5, 4, 0.6006944444444444, 0.5886030365320423
6, 0, 0.53125, 0.5150116000706592
6, 1, 0.4739583333333333, 0.46169624720699914
6, 2, 0.5243055555555556, 0.5020947920945918
6, 3, 0.5434027777777778, 0.5264946299464274
6, 4, 0.5486111111111112, 0.528217123401676
7, 0, 0.6336805555555556, 0.6277194947247838
7, 1, 0.6180555555555556, 0.6128796874117857
7, 2, 0.6197916666666666, 0.6114130848007377
7, 3, 0.5694444444444444, 0.5641160883345228
7, 4, 0.6423611111111112, 0.637878182334592
8, 0, 0.5625, 0.5556698134445252
8, 1, 0.5625, 0.5551615211768832
8, 2, 0.5833333333333334, 0.5812515902331433
8, 3, 0.5416666666666666, 0.5320225146138235
8, 4, 0.5295138888888888, 0.5229098197163942
9, 0, 0.5885416666666666, 0.5759946373381615
9, 1, 0.4913194444444444, 0.47697160050970555
9, 2, 0.5052083333333334, 0.48501202090243173
9, 3, 0.6006944444444444, 0.5885263244272981
9, 4, 0.5121527777777778, 0.49536920218679764
