subject, acc_mean, acc_std, f1_mean, f1_std
1, 0.49826388888888884, 0.0032940392293420505, 0.4833792031773084, 0.005048221728641553
2, 0.523263888888889, 0.03209881180255436, 0.5112726676168705, 0.03302448610030312
3, 0.6395833333333334, 0.02641172257741198, 0.6325056752243283, 0.027937631398073613
4, 0.5135416666666666, 0.009906487928949367, 0.49690790501414595, 0.00619878341273334
5, 0.5975694444444445, 0.012776645481231998, 0.583826193360681, 0.013978709573063668
6, 0.5243055555555556, 0.02660275181858051, 0.5067028785440708, 0.024373930063939307
7, 0.6166666666666667, 0.02526384689386286, 0.6108013075212844, 0.025312391561577337
8, 0.5559027777777777, 0.018646835530691075, 0.5494030518369539, 0.020448648319715733
9, 0.5395833333333334, 0.04559597630883184, 0.524374757072879, 0.04778669709837064
average, 0.5565200617283952, 0.04699181768110534, 0.5443526265965024, 0.050166078514726174
