subject, acc_mean, acc_std, f1_mean, f1_std
1, 0.48888888888888893, 0.026090232491901653, 0.4756250760126058, 0.02499193995633403
2, 0.4989583333333333, 0.01547380552441474, 0.48751614304998564, 0.016323589643564895
3, 0.6350694444444445, 0.03309375710401072, 0.6233018174453204, 0.03305568657996207
4, 0.5027777777777778, 0.02150536467666946, 0.4880957649691159, 0.02223857384573344
5, 0.6118055555555555, 0.035826199763667, 0.6016471863089828, 0.036879969543753076
6, 0.5107638888888889, 0.021499757750573202, 0.4965107802248288, 0.022905124271623566
7, 0.6166666666666667, 0.029674806415585404, 0.607178789332343, 0.028567286339962427
8, 0.532986111111111, 0.014189456070626775, 0.5258760961246434, 0.013767257349530647
9, 0.4954861111111112, 0.027020939525477378, 0.48307568744088736, 0.02719442499078571
average, 0.5437114197530865, 0.05628867279712138, 0.532091926767635, 0.0573620368613693
