subject, fold, accuracy, f1-score
1, 0, 0.4739583333333333, 0.45878491036893354
1, 1, 0.4513888888888889, 0.4407094297841988
1, 2, 0.4895833333333333, 0.47407021642240044
1, 3, 0.5295138888888888, 0.5122016099885766
1, 4, 0.5, 0.4923592134989192
2, 0, 0.4913194444444444, 0.47740540690354494
2, 1, 0.4739583333333333, 0.4615168817124274
2, 2, 0.5121527777777778, 0.5005909251233038
2, 3, 0.5, 0.49135752714071923
2, 4, 0.5173611111111112, 0.5067099743699331
3, 0, 0.6041666666666666, 0.5915586664844921
3, 1, 0.640625, 0.6274810487691035
3, 2, 0.6041666666666666, 0.5928762923570716
3, 3, 0.6319444444444444, 0.6220376729891807
3, 4, 0.6944444444444444, 0.6825554066267544
4, 0, 0.5086805555555556, 0.49070191368372484
4, 1, 0.4878472222222222, 0.4735127144479569
4, 2, 0.4947916666666667, 0.4868816318700218
4, 3, 0.5416666666666666, 0.5275914164620304
4, 4, 0.4809027777777778, 0.4617911483818458
5, 0, 0.5503472222222222, 0.5366160614772474
5, 1, 0.640625, 0.6287977981475872
5, 2, 0.6006944444444444, 0.5909609457306826
5, 3, 0.6145833333333334, 0.6094852395387742
5, 4, 0.6527777777777778, 0.6423758866506227
6, 0, 0.4774305555555556, 0.46261699137731127
6, 1, 0.5451388888888888, 0.5333748493749279
6, 2, 0.5121527777777778, 0.493291747477764
6, 3, 0.5121527777777778, 0.5038836722273254
6, 4, 0.5069444444444444, 0.48938664066681536
7, 0, 0.6440972222222222, 0.6312058349048804
7, 1, 0.59375, 0.5855721253427876
7, 2, 0.6475694444444444, 0.6373640375123863
7, 3, 0.5711805555555556, 0.5626484201586841
7, 4, 0.6267361111111112, 0.6191035287429767
8, 0, 0.5104166666666666, 0.5032078480282589
8, 1, 0.5260416666666666, 0.52229208316922
8, 2, 0.5451388888888888, 0.5393129398837603
8, 3, 0.5503472222222222, 0.5411811645933555
8, 4, 0.5329861111111112, 0.5233864449486225
9, 0, 0.5121527777777778, 0.501539633601626
9, 1, 0.453125, 0.4406964714756253
9, 2, 0.4774305555555556, 0.4650286149833719
9, 3, 0.5295138888888888, 0.5173732505550102
9, 4, 0.5052083333333334, 0.4907404665888031
