subject, acc_mean, acc_std, f1_mean, f1_std
1, 0.45138888888888895, 0.04521894610027696, 0.4386530059448802, 0.04668556160904521
2, 0.45763888888888893, 0.016528653104738753, 0.4451247723016859, 0.016464177474782415
3, 0.5791666666666666, 0.02361621676823881, 0.5701999528459124, 0.024913969868735134
4, 0.46736111111111106, 0.025642778385606597, 0.4504619905264283, 0.028276594793082213
5, 0.5559027777777777, 0.03041714230982746, 0.5410786405883693, 0.03355982937073466
6, 0.49236111111111114, 0.02914599134921293, 0.4708302538748482, 0.030585564933045064
7, 0.5774305555555556, 0.04155946858433521, 0.5708612852554948, 0.041124659587995376
8, 0.5336805555555555, 0.027877425432873682, 0.5227854543308619, 0.029095669095410916
9, 0.4840277777777778, 0.008947290782448013, 0.4697124579808151, 0.008313173359573638
average, 0.5109953703703703, 0.04827068852537017, 0.4977453126276996, 0.05067017772996256
