subject, fold, accuracy, f1-score
1, 0, 0.4027777777777778, 0.39247841399193645
1, 1, 0.4270833333333333, 0.4122162740080696
1, 2, 0.4270833333333333, 0.40931146795793233
1, 3, 0.53125, 0.5213200956202763
1, 4, 0.46875, 0.457938778146186
2, 0, 0.4618055555555556, 0.4511362440735506
2, 1, 0.4496527777777778, 0.44290096188105677
2, 2, 0.4479166666666667, 0.44122187529541035
2, 3, 0.4878472222222222, 0.47066790885342624
2, 4, 0.4409722222222222, 0.419696871404986
3, 0, 0.6076388888888888, 0.5967042843494083
3, 1, 0.5451388888888888, 0.5329668071953373
3, 2, 0.5677083333333334, 0.5560816847178852
3, 3, 0.6041666666666666, 0.5985409137789168
3, 4, 0.5711805555555556, 0.5667060741880143
4, 0, 0.4895833333333333, 0.469900198334235
4, 1, 0.46875, 0.45847568514229564
4, 2, 0.4739583333333333, 0.45947805450163887
4, 3, 0.4184027777777778, 0.3947478782914238
4, 4, 0.4861111111111111, 0.4697081363625482
5, 0, 0.5121527777777778, 0.49237856539857155
5, 1, 0.6006944444444444, 0.5911887482966756
5, 2, 0.5711805555555556, 0.5543213483437209
5, 3, 0.5347222222222222, 0.5184900653113904
5, 4, 0.5607638888888888, 0.5490144755914879
6, 0, 0.4635416666666667, 0.4340892401110802
6, 1, 0.5069444444444444, 0.4752421415703261
6, 2, 0.4513888888888889, 0.43746757078407816
6, 3, 0.5190972222222222, 0.4993609789893777
6, 4, 0.5208333333333334, 0.507991337919379
7, 0, 0.5798611111111112, 0.5784883207225829
7, 1, 0.5607638888888888, 0.5473504203279407
7, 2, 0.5607638888888888, 0.554823183925351
7, 3, 0.53125, 0.5273305278462433
7, 4, 0.6545138888888888, 0.6463139734553563
8, 0, 0.484375, 0.4722315996696802
8, 1, 0.5625, 0.5521559101086965
8, 2, 0.5503472222222222, 0.5404017489027808
8, 3, 0.5486111111111112, 0.5403452220628432
8, 4, 0.5225694444444444, 0.5087927909103089
9, 0, 0.4895833333333333, 0.48077651339278066
9, 1, 0.4756944444444444, 0.45903688880031596
9, 2, 0.4965277777777778, 0.4781097808253494
9, 3, 0.4722222222222222, 0.46515691038324747
9, 4, 0.4861111111111111, 0.465482196502382
